miRNA	Lung_M3_.	Lung_F2_.	Lung_F3_.	Lung_F1_.	Lung_M1_.	Lung_M2_.
mmu-miR-1249-3p	820	360	156	411	691	644
mmu-miR-29b-1-5p	17	8	3	9	18	20
mmu-miR-669a-5p	29	0	0	5	0	37
mmu-miR-669a-3p	18	32	1	0	9	0
mmu-miR-669o-5p	18	3	2	6	10	17
mmu-miR-669o-3p	2	6	0	3	1	5
mmu-miR-1943-3p	6	1	1	3	7	2
mmu-miR-1943-5p	658	130	110	153	493	560
mmu-miR-6946-5p	1	0	0	1	3	1
mmu-miR-6946-3p	31	11	3	14	25	22
mmu-miR-874-3p	466	230	76	235	397	307
mmu-miR-874-5p	23	7	3	1	24	19
mmu-miR-137-3p	3	2	0	0	0	0
mmu-miR-122-5p	247	54	34	20	137	403
mmu-miR-122-3p	2	1	2	0	0	3
mmu-miR-673-5p	47	54	11	30	30	37
mmu-miR-673-3p	17	6	10	6	10	8
mmu-miR-5100	84	15	9	31	48	69
mmu-miR-7044-5p	0	0	0	1	0	0
mmu-miR-7044-3p	18	12	5	4	10	18
mmu-miR-6516-5p	69	39	9	27	63	83
mmu-miR-6516-3p	3	6	1	7	3	0
mmu-miR-211-5p	210	62	5	40	109	90
mmu-miR-211-3p	3	0	0	0	0	0
mmu-miR-345-5p	257	403	124	324	168	213
mmu-miR-345-3p	525	314	215	161	409	518
mmu-miR-296-5p	17	11	6	9	4	10
mmu-miR-296-3p	5	1	2	3	6	8
mmu-miR-3082-5p	4	0	1	1	1	4
mmu-miR-3082-3p	319	105	64	98	248	207
mmu-miR-3964	18	3	0	23	14	13
mmu-miR-331-5p	57	16	8	4	44	56
mmu-miR-331-3p	68	128	56	114	60	90
mmu-miR-6944-5p	0	1	0	0	0	0
mmu-miR-6944-3p	29	26	11	33	29	20
mmu-miR-708-5p	110	118	21	32	38	44
mmu-miR-708-3p	72	177	21	78	56	37
mmu-miR-434-5p	322	157	50	68	199	199
mmu-miR-434-3p	270	180	75	84	189	244
mmu-miR-212-5p	67	23	9	38	82	100
mmu-miR-212-3p	43	14	6	41	28	61
mmu-miR-132-5p	20	9	3	10	11	13
mmu-miR-132-3p	138	159	91	119	101	184
mmu-miR-184-3p	162	139	55	49	119	140
mmu-miR-33-3p	27	36	10	23	24	30
mmu-miR-33-5p	49	23	12	17	29	35
mmu-miR-700-5p	81	142	65	153	52	64
mmu-miR-700-3p	95	45	16	47	75	84
mmu-miR-139-3p	88	7	2	12	63	45
mmu-miR-139-5p	230	120	24	99	145	204
mmu-miR-379-5p	172	92	57	40	133	131
mmu-miR-379-3p	9	11	7	10	9	7
mmu-miR-669b-5p	19	7	4	10	16	21
mmu-miR-669b-3p	2	0	0	0	0	0
mmu-miR-187-5p	83	22	10	22	65	90
mmu-miR-187-3p	169	99	38	104	94	102
mmu-miR-669p-5p	23	3	5	7	14	29
mmu-miR-669p-3p	1	0	0	0	0	0
mmu-miR-1941-5p	40	4	7	11	23	39
mmu-miR-1941-3p	44	26	9	41	32	45
mmu-miR-3091-5p	0	1	0	0	1	0
mmu-miR-3091-3p	3	1	0	4	1	2
mmu-miR-7068-3p	181	166	57	166	122	145
mmu-miR-8103	81	19	10	21	79	61
mmu-miR-5132-3p	2	2	0	3	0	2
mmu-miR-5132-5p	0	0	1	0	0	0
mmu-miR-128-1-5p	33	16	13	20	17	12
mmu-miR-5124a	7	0	0	0	7	7
mmu-miR-3086-5p	54	48	36	72	40	55
mmu-miR-3086-3p	1	1	0	3	1	2
mmu-miR-7069-3p	2	0	0	0	1	2
mmu-miR-7069-5p	2	0	0	1	1	0
mmu-miR-3569-5p	0	0	0	1	0	0
mmu-miR-3569-3p	2	0	0	0	0	2
mmu-miR-491-5p	20	8	2	6	8	10
mmu-miR-491-3p	0	2	1	4	3	1
mmu-miR-6919-5p	0	2	0	1	0	0
mmu-miR-6919-3p	3	0	0	0	1	1
mmu-miR-1968-5p	35	11	14	8	32	76
mmu-miR-1968-3p	4	1	0	1	5	1
mmu-miR-411-5p	172	172	75	200	113	102
mmu-miR-411-3p	12	18	6	12	6	5
mmu-miR-467c-5p	34	6	2	20	34	45
mmu-miR-467c-3p	2	3	1	3	1	1
mmu-miR-382-5p	22	5	3	6	11	8
mmu-miR-382-3p	3	8	2	4	0	3
mmu-miR-301b-3p	41	15	7	32	22	39
